AA, SS, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36, Bin37, Bin38, Bin39, Bin40
1, 1, -2.80196, -1.16321, -0.88723, -0.543236, -0.360218, -0.457175, -0.381605, -0.332644, -0.382288, -0.305026, -0.149893, -0.296144, -0.153329, 0.228406, 0.313592, 0.358355, 0.408218, 0.707496, 1.21091, 2.78087, 3.44227, 4.19996, 4.51011, 5.29857, 20.7235, 20.7235, 20.7235, 20.7235, 20.7235, 20.7235, 20.7235, 20.7235, 20.7235, 20.7235, 20.7235, 20.7235, 20.7235, 20.7235, 20.7235, 20.7235
1, 2, -3.20677, -1.32373, -0.800792, -0.677327, -0.343736, 0.0650908, 0.120468, 0.365195, 0.599768, 0.312086, 0.853548, 0.81718, 1.08599, 1.3768, 1.71577, 2.09526, 2.58077, 2.46299, 2.81438, 2.46299, 3.27392, 3.5616, 5.75882, 5.75882, 19.5743, 19.5743, 19.5743, 19.5743, 19.5743, 19.5743, 19.5743, 19.5743, 19.5743, 19.5743, 19.5743, 19.5743, 19.5743, 19.5743, 19.5743, 19.5743
1, 3, -2.14405, -1.21778, -0.930816, -0.882254, -0.884051, -0.57357, -0.649018, -0.600152, -0.382558, -0.383545, -0.3412, -0.295905, -0.222129, -0.0882661, -0.141216, -0.183094, -0.0627442, -0.152473, 0.174098, 0.581289, 0.744113, 1.06907, 1.54669, 1.93196, 3.97218, 20.3526, 20.3526, 20.3526, 20.3526, 20.3526, 20.3526, 20.3526, 20.3526, 20.3526, 20.3526, 20.3526, 20.3526, 20.3526, 20.3526, 20.3526
2, 1, -0.28024, 0.453348, 0.362376, 0.347987, -0.383006, -0.118438, 0.0812371, 0.0834277, 0.0900283, 0.170439, 0.0321344, -0.15883, -0.00868763, -0.370549, -0.30731, -0.423443, -0.324957, -0.199308, -0.34516, -0.313227, -0.462308, -0.472422, -0.418145, -0.469903, -0.23023, -0.0206162, 0.119146, 0.182473, 0.0900283, 0.0279764, 0.284342, 0.556946, 0.633766, 0.629971, 0.488893, 0.672531, 0.600118, 0.938062, 1.54248, 0.336624
2, 2, -1.1166, -0.259146, -0.243994, -0.0828212, -0.259146, -0.0275076, -0.14371, -0.270361, -0.389382, -0.48978, -0.232478, -0.321096, -0.359229, -0.285121, -0.270361, -0.29605, -0.362625, -0.372743, -0.379432, -0.281452, -0.201102, -0.180981, -0.00836825, 0.200387, 0.0773265, 0.103995, 0.268105, 0.313715, 0.464538, 0.660911, 0.781056, 0.870003, 0.942324, 1.45315, 1.31702, 1.769, 1.56315, 1.71343, 2.32862, 0.660911
2, 3, -0.262626, 0.179588, 0.127493, 0.209441, 0.174255, 0.130035, -0.00762322, -0.100714, 0.0147992, -0.172799, -0.211514, 0.0731589, -0.012048, -0.0295539, -0.100714, -0.14806, -0.0208393, -0.0926, -0.206074, -0.374666, -0.215124, -0.00317877, -0.196942, -0.182154, -0.134481, -0.0295539, -0.0531349, -0.0317208, 0.00801956, 0.0470601, 0.0612113, 0.0447209, 0.158424, 0.582383, 0.550885, 0.648523, 0.554768, 0.862097, 1.02244, -0.81584
3, 1, -1.47966, -0.32685, -0.402537, -0.309502, -0.46864, -0.0832283, -0.449264, -0.273875, -0.455764, -0.146983, -0.21244, -0.247626, -0.158679, -0.255573, -0.289299, -0.329304, -0.436134, -0.814812, -0.721611, -0.22612, 0.025971, -0.427285, -0.609606, -0.289299, 0.0543417, 0.754709, 1.05699, 1.22762, 1.55483, 2.09844, 2.38613, 3.37938, 3.73605, 4.58335, 5.68196, 19.4975, 19.4975, 19.4975, 19.4975, 19.4975
3, 2, -2.28644, -0.916093, -0.805798, -0.544846, -0.709427, -0.747599, -0.391459, -0.353308, -0.353308, -0.347737, -0.216597, -0.203776, 0.0689646, 0.139169, -0.157563, -0.0506999, -0.307845, -0.109111, 0.139169, 0.32879, 0.362312, 0.576969, 0.665262, 0.947829, 1.07845, 1.54381, 1.62077, 2.1316, 3.23021, 2.64242, 3.23021, 3.45335, 4.1465, 3.74104, 18.6552, 18.6552, 18.6552, 18.6552, 18.6552, 18.6552
3, 3, -1.21417, -0.448952, -0.21781, -0.174835, -0.340045, -0.246087, -0.161776, -0.189694, -0.277197, -0.345108, -0.367581, -0.275393, -0.273587, -0.485455, -0.38956, -0.295054, -0.348469, -0.345108, -0.209169, -0.190677, -0.0872788, -0.0774265, -0.0231759, -0.0138409, -0.0540531, 0.133688, 0.179562, 0.179562, 0.23063, 0.477251, 0.641349, 0.671133, 1.20153, 1.55877, 1.86738, 2.47224, 3.90171, 5.12548, 20.5504, 20.5504
4, 1, -0.858284, 0.0726056, 0.0436181, -0.0815451, -0.332859, -0.0364246, -0.258249, -0.715183, -0.116636, -0.152497, -0.247629, -0.411393, -0.542845, -0.464346, -0.600739, -0.638757, -0.625432, -0.637553, -0.53353, -0.522777, -0.411393, -0.478571, -0.291152, -0.142664, -0.154452, 0.125448, 0.3313, 0.554444, 1.29638, 1.75314, 2.3462, 2.82578, 3.37582, 3.78129, 4.13796, 4.98526, 19.8994, 19.8994, 19.8994, 19.8994
4, 2, -2.01456, -0.902309, -0.788981, -0.705599, -0.546419, -0.779707, -0.610957, -0.675036, -0.481619, -0.464741, -0.42569, -0.30846, -0.252179, -0.375793, -0.111101, -0.00236766, -0.042108, -0.0091017, 0.104495, 0.483985, 0.540497, 0.835962, 0.820457, 0.969493, 1.46848, 1.46848, 1.35726, 1.73675, 1.81679, 0.987511, 1.77597, 3.04893, 2.79762, 3.89623, 18.8104, 18.8104, 18.8104, 18.8104, 18.8104, 18.8104
4, 3, -1.06106, -0.332951, -0.154407, -0.0792544, -0.06253, -0.209855, -0.172345, -0.248482, -0.396022, -0.41851, -0.428192, -0.597467, -0.522062, -0.607297, -0.522062, -0.493462, -0.403809, -0.355407, -0.436417, -0.360575, -0.249306, -0.0947436, 0.048579, 0.163594, 0.171085, 0.309282, 0.425088, 0.446314, 0.511072, 0.666985, 0.931615, 1.00099, 1.24372, 1.72329, 2.17106, 2.8829, 3.80867, 6.16005, 20.6687, 20.6687
